x,y,z
-0.0,-0.05,-1.03
-0.0,-0.05,-1.03
-0.0,-0.05,-1.03
-0.0,-0.05,-1.04
-0.0,-0.05,-1.03
-0.0,-0.05,-1.03
-0.0,-0.05,-1.04
-0.0,-0.05,-1.03
-0.0,-0.05,-1.03
-0.0,-0.05,-1.04
-0.0,-0.05,-1.03
-0.0,-0.05,-1.03
-0.0,-0.05,-1.04
-0.0,-0.05,-1.03
-0.0,-0.05,-1.02
-0.0,-0.05,-1.04
-0.0,-0.05,-1.03
-0.0,-0.05,-1.03
-0.0,-0.05,-1.04
-0.0,-0.05,-1.03
-0.0,-0.05,-1.03
-0.0,-0.05,-1.03
-0.0,-0.05,-1.03
-0.0,-0.05,-1.03
-0.0,-0.05,-1.03
-0.0,-0.05,-1.03
-0.0,-0.05,-1.03
-0.0,-0.05,-1.03
-0.0,-0.05,-1.03
-0.0,-0.05,-1.03
-0.0,-0.05,-1.03
-0.0,-0.05,-1.03
-0.0,-0.05,-1.03
-0.0,-0.05,-1.03
-0.0,-0.05,-1.03
-0.0,-0.05,-1.03
-0.0,-0.05,-1.04
-0.0,-0.05,-1.03
-0.0,-0.05,-1.03
-0.0,-0.04,-1.03
-0.0,-0.05,-1.04
-0.0,-0.05,-1.04
-0.0,-0.05,-1.02
-0.0,-0.05,-1.03
-0.0,-0.05,-1.04
-0.0,-0.05,-1.02
-0.0,-0.05,-1.03
-0.0,-0.05,-1.04
-0.0,-0.05,-1.03
-0.0,-0.05,-1.03
-0.0,-0.05,-1.04
-0.0,-0.05,-1.03
-0.0,-0.05,-1.03
-0.0,-0.05,-1.04
-0.0,-0.05,-1.02
-0.0,-0.05,-1.03
-0.0,-0.05,-1.04
-0.0,-0.05,-1.03
-0.0,-0.05,-1.03
-0.0,-0.05,-1.04
-0.0,-0.05,-1.03
-0.0,-0.05,-1.03
-0.0,-0.05,-1.04
-0.0,-0.05,-1.03
-0.0,-0.05,-1.03
-0.0,-0.05,-1.04
-0.0,-0.05,-1.03
-0.0,-0.05,-1.02
-0.0,-0.05,-1.04
-0.0,-0.05,-1.04
-0.0,-0.05,-1.02
-0.0,-0.05,-1.04
-0.0,-0.05,-1.04
-0.0,-0.05,-1.02
-0.0,-0.05,-1.03
-0.0,-0.05,-1.03
-0.0,-0.05,-1.03
-0.0,-0.05,-1.03
-0.0,-0.05,-1.04
-0.0,-0.05,-1.03
-0.0,-0.05,-1.03
-0.0,-0.05,-1.04
-0.0,-0.05,-1.03
-0.0,-0.05,-1.03
-0.0,-0.05,-1.04
-0.0,-0.05,-1.03
-0.0,-0.05,-1.03
-0.0,-0.04,-1.03
-0.0,-0.05,-1.03
-0.0,-0.05,-1.03
-0.0,-0.05,-1.03
-0.0,-0.05,-1.03
-0.0,-0.05,-1.03
-0.0,-0.05,-1.03
-0.0,-0.05,-1.03
-0.0,-0.05,-1.03
-0.0,-0.05,-1.03
-0.0,-0.05,-1.04
-0.0,-0.05,-1.03
-0.0,-0.05,-1.02
-0.0,-0.05,-1.04
-0.0,-0.05,-1.03
-0.0,-0.05,-1.02
-0.0,-0.05,-1.03
-0.0,-0.05,-1.04
-0.0,-0.05,-1.03
-0.0,-0.05,-1.03
-0.0,-0.05,-1.04
-0.0,-0.05,-1.03
-0.0,-0.05,-1.03
-0.0,-0.05,-1.04
-0.0,-0.05,-1.03
-0.0,-0.05,-1.02
-0.0,-0.05,-1.04
-0.0,-0.05,-1.03
-0.0,-0.05,-1.02
-0.0,-0.05,-1.04
-0.0,-0.05,-1.03
-0.0,-0.05,-1.03
-0.0,-0.05,-1.03
-0.0,-0.05,-1.03
-0.0,-0.05,-1.02
-0.0,-0.05,-1.04
-0.0,-0.05,-1.04
-0.0,-0.05,-1.02
-0.0,-0.05,-1.04
-0.0,-0.05,-1.04
-0.0,-0.05,-1.03
