x,y,z
0.02,-0.03,-1.01
0.02,-0.03,-1.02
0.02,-0.03,-1.02
0.02,-0.03,-1.02
0.02,-0.03,-1.02
0.02,-0.03,-1.06
0.02,-0.03,-1.03
0.02,-0.03,-1.03
0.02,-0.03,-1.03
0.02,-0.03,-1.04
0.02,-0.03,-1.04
0.02,-0.03,-1.03
0.02,-0.03,-1.04
0.02,-0.03,-1.02
0.02,-0.03,-1.03
0.02,-0.03,-1.02
0.02,-0.03,-1.04
0.02,-0.03,-1.02
0.02,-0.03,-1.04
0.02,-0.03,-1.03
0.02,-0.03,-1.03
0.02,-0.03,-1.04
0.02,-0.03,-1.03
0.02,-0.03,-1.03
0.02,-0.03,-1.03
0.02,-0.03,-1.03
0.02,-0.03,-1.02
0.02,-0.03,-1.03
0.02,-0.03,-1.04
0.02,-0.03,-1.02
0.02,-0.03,-1.03
0.02,-0.03,-1.03
0.02,-0.03,-1.03
0.02,-0.03,-1.03
0.02,-0.03,-1.04
0.02,-0.03,-1.03
0.02,-0.03,-1.03
0.02,-0.03,-1.03
0.02,-0.03,-1.03
0.02,-0.03,-1.03
0.02,-0.03,-1.03
0.02,-0.03,-1.03
0.02,-0.03,-1.03
0.02,-0.03,-1.03
0.02,-0.03,-1.03
0.02,-0.03,-1.03
0.02,-0.03,-1.03
0.02,-0.03,-1.03
0.02,-0.03,-1.03
0.02,-0.03,-1.03
0.02,-0.03,-1.03
0.02,-0.03,-1.03
0.02,-0.03,-1.03
0.02,-0.03,-1.03
0.02,-0.03,-1.03
0.02,-0.03,-1.03
0.02,-0.03,-1.03
0.02,-0.03,-1.03
0.02,-0.03,-1.03
0.02,-0.03,-1.03
0.02,-0.03,-1.03
0.02,-0.03,-1.03
0.02,-0.03,-1.03
0.02,-0.03,-1.03
0.02,-0.03,-1.03
0.02,-0.03,-1.03
0.02,-0.03,-1.03
0.02,-0.03,-1.03
0.02,-0.03,-1.03
0.02,-0.03,-1.03
0.02,-0.03,-1.03
0.02,-0.03,-1.03
0.02,-0.03,-1.03
0.02,-0.03,-1.03
0.02,-0.03,-1.03
0.02,-0.03,-1.03
0.02,-0.03,-1.03
0.02,-0.03,-1.03
0.02,-0.03,-1.03
0.02,-0.03,-1.03
0.02,-0.03,-1.03
0.02,-0.03,-1.03
0.02,-0.03,-1.03
0.02,-0.03,-1.03
0.02,-0.03,-1.03
0.02,-0.03,-1.03
0.02,-0.03,-1.03
0.02,-0.03,-1.03
0.02,-0.03,-1.03
0.02,-0.03,-1.03
0.02,-0.03,-1.03
0.02,-0.03,-1.03
0.02,-0.03,-1.03
0.02,-0.03,-1.03
0.02,-0.03,-1.03
0.02,-0.03,-1.03
0.02,-0.03,-1.03
0.02,-0.03,-1.03
0.02,-0.03,-1.03
0.02,-0.03,-1.03
0.02,-0.03,-1.03
0.02,-0.03,-1.03
0.02,-0.03,-1.03
0.02,-0.03,-1.03
0.02,-0.03,-1.03
0.02,-0.03,-1.03
0.02,-0.03,-1.03
0.02,-0.03,-1.03
0.02,-0.03,-1.03
0.02,-0.03,-1.03
0.02,-0.03,-1.03
0.02,-0.03,-1.03
0.02,-0.03,-1.03
0.02,-0.03,-1.03
0.02,-0.03,-1.03
0.02,-0.03,-1.03
0.02,-0.03,-1.03
0.02,-0.03,-1.03
0.02,-0.03,-1.03
0.02,-0.03,-1.03
0.02,-0.03,-1.03
0.02,-0.03,-1.03
0.02,-0.03,-1.03
0.02,-0.03,-1.03
0.02,-0.03,-1.03
0.02,-0.03,-1.03
0.02,-0.03,-1.03
0.02,-0.03,-1.03
